,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_09,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_squared_0,psi_squared_1,psi_squared_10,psi_squared_11,psi_squared_12,psi_squared_13,psi_squared_14,psi_squared_15,psi_squared_16,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,psi_squared_9,v_ev,z_ang
848,(0.09770275748526669+5.823844931925522e-14j),(-0.13878459537940574-1.0410306025171736e-13j),(0.09866979641315621+1.7243977530582963e-13j),(-0.00041690192021370326+7.49596180266548e-14j),(-0.09848615226857318+2.441193022371218e-13j),(0.1385759330340902-5.379717225537079e-14j),(-0.09587605061688839+1.1082663781404429e-13j),(-0.004804894016735206+5.048730088948017e-14j),(0.10213435908969733+7.890186717360026e-14j),(-0.13791269645083115-5.953610359822533e-14j),(0.08976278570981357-3.154156483135884e-14j),(0.012823391420772191-3.910767726871486e-15j),(-0.1074561427725751+2.696517335415585e-14j),(0.13560454671149688+1.7632843737104217e-14j),(-0.07874218278918028+1.846349511199494e-14j),(-0.028854736112750752+6.404290542536098e-15j),(0.11451179379247485-6.460158749899946e-14j),0.009545828820224835,0.01926116391462537,0.008057357698385911,0.00016443936753033383,0.011546822619560046,0.01838859308883054,0.00620033135040468,0.0008325957961364824,0.013112950917570282,0.009735728724213693,1.73807211077873e-07,0.009699522188668583,0.019203289216268647,0.009192217081892145,2.308700651205778e-05,0.010431427306663238,0.019019911842339095,0.0,-25.72056668295066
849,(0.0981493988470497+5.858159635294146e-14j),(-0.13879839970349975-1.0527689213791919e-13j),(0.09736706745735807+1.6764533859142105e-13j),(0.002043280458025646+7.148191607999601e-14j),(-0.1006266991716613+2.4622026933916534e-13j),(0.138476807596326-5.420041123826941e-14j),(-0.09273074888031113+1.090626181926708e-13j),(-0.009701134569414807+5.069910887216817e-14j),(0.10576421093414357+8.219658867149847e-14j),(-0.13740873375421297-5.913967936251846e-14j),(0.084563717053293-3.3109791439108704e-14j),(0.02006961246038687-8.021183219854936e-15j),(-0.11219365806559907+2.6795345588295673e-14j),(0.1341804773370118+1.7804311984052786e-14j),(-0.07124878718395983+1.774301850953664e-14j),(-0.03800814438108647+9.605153756858353e-15j),(0.11866356629295727-6.631134647183757e-14j),0.00963330449403724,0.01926499576025248,0.007151022241869399,0.000402789344310116,0.012587416910140562,0.018004400498388338,0.005076389675185198,0.001444619039293515,0.014081041965363065,0.009480345825245717,4.174995030149493e-06,0.01012573258618402,0.01917582624206989,0.008598991787903324,9.411201193389502e-05,0.011186068314522013,0.018881160111936187,0.0,-25.57401074743528
850,(0.098594287274564+5.893222485027058e-14j),(-0.13880127115875088-1.064544687004957e-13j),(0.09604677690309397+1.6288552602194135e-13j),(0.004503314973518837+6.800221661786151e-14j),(-0.10271814022263086+2.4822836516380163e-13j),(0.13827978084680184-5.45332211785064e-14j),(-0.08949597124192192+1.0721987187379447e-13j),(-0.014585598719959255+5.085891415828719e-14j),(0.10922638369462753+8.54200807311874e-14j),(-0.1366359826713392-5.867513338961523e-14j),(0.0791646153040404-3.4667780915614225e-14j),(0.027259894236256563-1.2045185677432556e-14j),(-0.11656274145954648+2.6586626636605555e-14j),(0.13224594911415602+1.7966482733402267e-14j),(-0.0634454007349815+1.6949889161615427e-14j),(-0.046974373277441236+1.2769618393978176e-14j),(0.12216075632660164-6.7614033994416e-14j),0.009720833483179252,0.019265792875285088,0.006267036316236707,0.0007431018337718938,0.013586872696565076,0.017488991057103942,0.004025318874422392,0.0022065917448083855,0.014923250386287343,0.009224983353472707,2.0279845750718964e-05,0.010551016330796055,0.019121297791039545,0.008009528868534916,0.00021273969001967707,0.011930402895005996,0.018669391760562506,0.0,-25.427454811919887
851,(0.09903741143184243+5.930156220612538e-14j),(-0.1387932005040712-1.0760455403705021e-13j),(0.09470914836967888+1.5813294095836114e-13j),(0.00696242701921257+6.451890333192571e-14j),(-0.10475942804079777+2.501563017748298e-13j),(0.13798496546980887-5.4860477191481516e-14j),(-0.08617480363196152+1.0529155463003392e-13j),(-0.019452153553205842+5.095265428454977e-14j),(0.11251535734987007+8.850452263834422e-14j),(-0.1355959111135688-5.80913235019265e-14j),(0.07357821329200827-3.617726239588696e-14j),(0.03437403797455-1.605679040868646e-14j),(-0.12054894832071254+2.6359014616267825e-14j),(0.1298082587356264+1.8064028457377607e-14j),(-0.055365962446569106+1.6080074764662526e-14j),(-0.05570922733904094+1.5897280440975345e-14j),(0.12498417128379695-6.859396854590088e-14j),0.009808408863120033,0.019263552506163312,0.005413753471244262,0.0011815744866758055,0.014532048941229824,0.016850184035975328,0.0030653897976349004,0.0031035180107129466,0.015621043071497495,0.008969822784909848,4.8475389997861234e-05,0.010974537763435085,0.01903985069570435,0.007426096781007128,0.00037838627785749865,0.012659705639568962,0.018386251110718854,0.0,-25.280898876404493
852,(0.09947876011982175+5.96784704344169e-14j),(-0.13877417971405265-1.0883903795781507e-13j),(0.09335440920655429+1.5344358805544217e-13j),(0.009419840917621719+6.104311858001743e-14j),(-0.10674953854483288+2.5197189422924476e-13j),(0.13759254233801227-5.5150152350601614e-14j),(-0.08277041563012721+1.0322047558574307e-13j),(-0.02429468769438735+5.101849657595336e-14j),(0.11562588630229872+9.14848007260083e-14j),(-0.1342905121891-5.74460724922899e-14j),(0.06781769113214858-3.756638763366358e-14j),(0.0413920515526731-1.996819465763048e-14j),(-0.12413908736652633+2.6062385778158648e-14j),(0.12687661635322783+1.814738304327719e-14j),(-0.047045616160814374+1.5159740215912976e-14j),(-0.0641696475484806+1.8961219913389235e-14j),(0.12711833559492589-6.918407143084062e-14j),0.009896023714977038,0.019258272955308183,0.004599239230495504,0.0017133019317391476,0.015410513012194057,0.01609767577724416,0.0022132899999506785,0.004117743666496223,0.0161590712444242,0.008715045718304788,8.873340291330039e-05,0.01139546397953476,0.018931707707037698,0.006850941703584007,0.000590231850167816,0.013369345583192112,0.018033941664010813,0.0,-25.134342940889113
853,(0.09991832201301142+6.008683181644748e-14j),(-0.1387442012943955-1.1001944475962652e-13j),(0.09198278965646808+1.4876319281831384e-13j),(0.01187478155655613+5.755984927768785e-14j),(-0.10868747282705646+2.536398984877784e-13j),(0.13710276253874612-5.537143568636309e-14j),(-0.07928605936250983+1.0107677343715114e-13j),(-0.02910711619133781+5.1001961864373016e-14j),(0.11855300538634889+9.433579058524798e-14j),(-0.1327222970082376-5.672274106410094e-14j),(0.06189664224680604-3.886452093499887e-14j),(0.048294209915584696-2.3817792747594553e-14j),(-0.12732126804343685+2.5671179251587087e-14j),(0.12346211594475451+1.8254705187624356e-14j),(-0.038520561842747006+1.4129715497406978e-14j),(-0.07231391837391606+2.1899781371367475e-14j),(0.1285515715753713-6.943964090198187e-14j),0.009983671073895842,0.019249953392819735,0.0038311943214290947,0.0023323307113705593,0.016210705296188694,0.015242894073556005,0.0014838336846808966,0.005229302790589394,0.016525506554497815,0.008460833592986052,0.00014101043701592562,0.011812966749532135,0.018797167495755808,0.006286279209235433,0.0008472242129760396,0.014054815086135668,0.017615208123142833,0.0,-24.98778700537372
854,(0.10035608592055927+6.051667273530129e-14j),(-0.1387032589664595-1.1127791371225648e-13j),(0.0905945236102895+1.4418091664729186e-13j),(0.014326473258551027+5.4085749431386846e-14j),(-0.11057225634386895+2.551312649376933e-13j),(0.13651594516364896-5.5522271533836154e-14j),(-0.07572506456257665+9.880045829561415e-14j),(-0.033883390948331836+5.092278275370587e-14j),(0.12129204027898464+9.707725318714161e-14j),(-0.13089429344755382-5.595409517075297e-14j),(0.05582904429551469-4.00817007864512e-14j),(0.05506110643921713-2.7560582727263245e-14j),(-0.13008493674740151+2.5145769821007593e-14j),(0.11957768885367073+1.8354813968186306e-14j),(-0.02982789430442264+1.3053596716129663e-14j),(-0.08010187904194552+2.474600542073558e-14j),(0.12927606786058066-6.928129054373311e-14j),0.010071343981294674,0.019238594047916724,0.0031168821869505415,0.0030317254423107985,0.016922090768575454,0.01429882367158529,0.0008897032786358086,0.006416311026050471,0.016712301721493454,0.008207367708175302,0.00020524783602797768,0.012226223872974269,0.01863660328392441,0.005734285403006401,0.0011480841821574959,0.014711759035038834,0.01713331605713433,0.0,-24.84123106985834
855,(0.10079204053010343+6.10235844853539e-14j),(-0.13865134699599743-1.1258261076786382e-13j),(0.08918984779054759+1.3961155143409514e-13j),(0.016774141390395705+5.062431947217675e-14j),(-0.11240294073048115+2.564410128986263e-13j),(0.1358324791955538-5.55946412785793e-14j),(-0.07209083725662503+9.643879885355639e-14j),(-0.0386175055949491+5.078300295022224e-14j),(0.12383861267689457+9.96840041649293e-14j),(-0.128810036993366-5.507018151199463e-14j),(0.04962922336305842-4.121228401957593e-14j),(0.061673711671464355-3.119327754259012e-14j),(-0.13242091546968104+2.455519152399855e-14j),(0.11523805986894231+1.8368531371026017e-14j),(-0.021005445786922913+1.1948360662113599e-14j),(-0.08749511651669643+2.7474093110342235e-14j),(0.12928791811997511-6.866312612750306e-14j),0.010159035434222013,0.019224196023804485,0.0024630598116203435,0.003803646711334919,0.017535298853828412,0.013279810442357933,0.0004412287527073576,0.007655395414270285,0.01671536577179739,0.007954828948901047,0.00028137181938498633,0.01263442108486006,0.018450462404410558,0.0051970888163611955,0.001491311738375925,0.015336001989737912,0.016592025630232314,0.0,-24.694675134342944
856,(0.10122617466179525+6.162427874113945e-14j),(-0.1385884608643543-1.1394832956817536e-13j),(0.08776900248341528+1.3510600332069179e-13j),(0.019217011260071224+4.714091446025125e-14j),(-0.11417860300372312+2.575492481752164e-13j),(0.13505282124031903-5.558692280307095e-14j),(-0.06838685472094422+9.396772176858308e-14j),(-0.04330350577864616+5.0656672984904176e-14j),(0.12618864971907767+1.0220327789124733e-13j),(-0.1264735674272779-5.405814019863373e-14j),(0.043311823047275884-4.2220714347598646e-14j),(0.06811342287204841-3.472173117125561e-14j),(-0.1343214292205693+2.3856114774215196e-14j),(0.1104596870026467+1.831864743917048e-14j),(-0.012091617580265049+1.0764746250227241e-14j),(-0.09445716050324893+3.0050356303155915e-14j),(0.12858714653768633-6.752281997892007e-14j),0.010246738436660277,0.019206761484750666,0.0018759140156785383,0.0046394383753464875,0.018042246347856408,0.012201342452722677,0.0001462072157073748,0.008922155170336529,0.016534654254704417,0.0077033977969337575,0.00036929352176970424,0.013036753383881812,0.018239264524969566,0.00467676189862353,0.0018751936127212414,0.01592357531792408,0.015995563257782206,0.0,-24.54811919882755
857,(0.10165847701909736+6.223977559943519e-14j),(-0.1385145966100119-1.1532838797912087e-13j),(0.08633223074190159+1.305929750836633e-13j),(0.021654309700753015+4.3630139532480827e-14j),(-0.11589834731731898+2.585832120832461e-13j),(0.13417749727603795-5.5517517218069527e-14j),(-0.06461666396926746+9.141155999896478e-14j),(-0.04793549397981381+5.04135860837109e-14j),(0.12833838828135907+1.0452092696539693e-13j),(-0.12388941774738058-5.290016324527376e-14j),(0.036891767119327255-4.3142112954017517e-14j),(0.07436212046532664-3.8152238293768186e-14j),(-0.13578013547131657+2.312138600611176e-14j),(0.10526070401323244+1.8198577416685186e-14j),(-0.003125216706079594+9.559432357875519e-15j),(-0.10095365844472382+3.253706773113347e-14j),(0.1271777034443843-6.606665321557986e-14j),0.010334445949842347,0.01918629347403432,0.0013610024811866756,0.005529724960099751,0.01843624518860908,0.011079815809361328,9.76697945995899e-06,0.010191641153373955,0.01617416825338776,0.007453254064872938,0.0004689091286161261,0.013432426910885899,0.018003600775261173,0.0041753132625172275,0.002297811583088766,0.016470741906656882,0.015348587829784977,0.0,-24.40156326331217
