,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_squared_0,psi_squared_1,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,v_ev,z_ang
10,(3.8183810570150255e-13-8.727243376570981e-15j),(-4.435030799765108e-13-1.7399154598669147e-15j),(3.89852456269536e-12+7.29128861341629e-15j),(-5.30614393644e-12-4.677004772443513e-16j),(7.855555492966248e-11-4.2824225129626786e-15j),(-1.6255094767327596e-10+3.577493112259074e-16j),(6.382502354511383e-09+8.139013465599489e-15j),(-3.184935149090076e-08-2.516838252406155e-15j),(0.00019207791589114033+5.9168335344824e-14j),1.4587650374266574e-25,1.9669800925445882e-25,1.5198546928828694e-23,2.8155163692962717e-23,6.1709752286463614e-21,2.642281058960809e-20,4.0736336305409594e-17,1.014381190390949e-15,3.689392577308398e-08,1.0,-74.26722032242306
11,(3.8715676928066973e-13-8.706099241605154e-15j),(-4.66775987922212e-13-1.842249437243642e-15j),(3.951357280808245e-12+7.289792374461637e-15j),(-5.792162629563166e-12-3.771213833687022e-16j),(7.948643226773489e-11-4.171177696443602e-15j),(-1.7862045349249715e-10+1.941773235981967e-16j),(6.441033976544436e-09+8.092776630683663e-15j),(-3.4970597749146025e-08-2.55505360815777e-15j),(0.0001926482421801244+5.90115654872873e-14j),1.499661601638504e-25,2.17883216783746e-25,1.5613277501669188e-23,3.3549148069528625e-23,6.31809293205193e-21,3.1905266405903046e-20,4.1486918687065315e-17,1.2229427069325834e-15,3.711334521509186e-08,1.0,-74.19394235466537
12,(3.9354297823773427e-13-8.672639163964266e-15j),(-5.33211966231062e-13-1.9409343148329265e-15j),(4.010596275457256e-12+7.280611119406247e-15j),(-6.370474756321772e-12-3.238735023033401e-16j),(8.050845578422826e-11-4.052912712082842e-15j),(-1.9499658125047717e-10+1.6500802004175866e-17j),(6.505090347484422e-09+8.051781839253743e-15j),(-3.811617737346646e-08-2.5806403092101408e-15j),(0.0001932708930385929+5.884396266463542e-14j),1.549512903902941e-25,2.843187681580097e-25,1.6084935492009886e-23,4.0582948725826996e-23,6.4816114691871384e-21,3.802366669937422e-20,4.231620042899983e-17,1.4528429775655628e-15,3.735363809593521e-08,1.0,-74.12066438690766
13,(4.0000544043607715e-13-8.654950069632938e-15j),(-5.578682371772219e-13-2.0371116157525877e-15j),(4.073648530428755e-12+7.279906625206623e-15j),(-6.871336206590363e-12-2.4361270806224536e-16j),(8.161824969954188e-11-3.9489281418728035e-15j),(-2.1144282873582914e-10-1.5061057991974917e-16j),(6.574718101128916e-09+8.009391916048816e-15j),(-4.1287934330124955e-08-2.5727655807228137e-15j),(0.0001939459929655556+5.867515521656845e-14j),1.600792605391679e-25,3.1122111987495606e-25,1.6594665346504827e-23,4.7215261323346793e-23,6.661538699610802e-21,4.4708069823831857e-20,4.322691810937637e-17,1.7046935212487174e-15,3.761504818739534e-08,1.0,-74.04738641914997
14,(4.0749732139167833e-13-8.634171823845878e-15j),(-6.258019650912196e-13-2.134812097991419e-15j),(4.143488388007869e-12+7.283263265975266e-15j),(-7.465823530086852e-12-2.054459986495592e-16j),(8.282178361590406e-11-3.820675256106357e-15j),(-2.2822876684238737e-10-3.3446727354552236e-16j),(6.649981225353716e-09+7.968859405939132e-15j),(-4.448838006450962e-08-2.5806797589087293e-15j),(0.0001946736769096746+5.853418975314157e-14j),1.6612861586447647e-25,3.9163265693472588e-25,1.7168549067479846e-23,5.573852102460655e-23,6.859447855917195e-21,5.2088370014508684e-20,4.422225029762041e-17,1.9792159607642644e-15,3.7897840481532376e-08,1.0,-73.97410845139228
15,(4.150082656575991e-13-8.62272977877078e-15j),(-6.520965858441241e-13-2.217278211322101e-15j),(4.217122439656576e-12+7.284103474474526e-15j),(-7.984197383870097e-12-1.3914534059281315e-16j),(8.411530030990875e-11-3.721908581420312e-15j),(-2.4511826534569884e-10-4.855029826377526e-16j),(6.7309346064588445e-09+7.907528219592875e-15j),(-4.7719393728200003e-08-2.580679171745441e-15j),(0.0001954540902537148+5.834646554436116e-14j),1.7230621203296604e-25,4.252348735922295e-25,1.7784174729218456e-23,6.374740788395951e-23,7.075383760078739e-21,6.008296400632013e-20,4.53054806764878e-17,2.277140537786981e-15,3.82023013969073e-08,1.0,-73.90083048363459
16,(4.237583250942935e-13-8.598030570898392e-15j),(-7.218414349990325e-13-2.320890951119675e-15j),(4.298020751281548e-12+7.270865665473608e-15j),(-8.597581989870275e-12-1.0113330591652308e-16j),(8.550574206655241e-11-3.619023047676539e-15j),(-2.623814149673936e-10-6.491287433997446e-16j),(6.81765253601857e-09+7.800284427409982e-15j),(-5.0983524981826696e-08-2.621763263746675e-15j),(0.00019628738886216717+5.811720231261719e-14j),1.7964504421641902e-25,5.210604438162696e-25,1.8473035243934322e-23,7.391841608276967e-23,7.311231939449118e-21,6.884400692071298e-20,4.6480386101941276e-17,2.5993198195725536e-15,3.852873902632763e-08,1.0,-73.82755251587689
17,(4.3247025791034876e-13-8.583464803615172e-15j),(-7.500377330548934e-13-2.394261292466304e-15j),(4.382617925515462e-12+7.263250489196697e-15j),(-9.136226087212233e-12-5.5324468080206014e-17j),(8.698866506327903e-11-3.5223057626007796e-15j),(-2.7978241931748714e-10-7.83645412191762e-16j),(6.910198315024103e-09+7.714872046598846e-15j),(-5.4282693959704167e-08-2.6294343645810926e-15j),(0.00019717373906359887+5.790954594714365e-14j),1.8710419984507848e-25,5.625623334932601e-25,1.9207392635857123e-23,8.347062711971815e-23,7.56702786189798e-21,7.82782021597603e-20,4.775084075302148e-17,2.9466108635229102e-15,3.887748337632018e-08,1.0,-73.7542745481192
18,(4.424213058971778e-13-8.555705962603402e-15j),(-8.218200936058262e-13-2.4932520053989203e-15j),(4.474822553160551e-12+7.243063550972743e-15j),(-9.771301570017376e-12-2.7832880203099087e-17j),(8.85720796291247e-11-3.434611313406943e-15j),(-2.9759190802165863e-10-9.457735199153037e-16j),(7.00865675817859e-09+7.606853193094561e-15j),(-5.761949422060667e-08-2.6357547500419345e-15j),(0.00019811331770468223+5.769447880736376e-14j),1.958098120162827e-25,6.753944825598514e-25,2.0024089344243918e-23,9.54783343729987e-23,7.845013301624562e-21,8.856094372086583e-20,4.912126955402028e-17,3.320006114238532e-15,3.9248886651956356e-08,1.0,-73.68099658036151
19,(4.5225797402208907e-13-8.540203273614921e-15j),(-8.521825879879867e-13-2.5767516966561977e-15j),(4.5707641760838556e-12+7.239612008709043e-15j),(-1.0333023806837291e-11+2.913690348014997e-18j),(9.025096977522621e-11-3.3679809908632463e-15j),(-3.1557461405604285e-10-1.082953023266471e-15j),(7.1130996765687485e-09+7.523918503946798e-15j),(-6.099589248813955e-08-2.6705922118166586e-15j),(0.00019910631213013869+5.748640441546773e-14j),2.0461021013851922e-25,7.262218029192089e-25,2.0891937565353566e-23,1.0677138099267475e-22,8.145237556712091e-21,9.958733703779317e-20,5.0596187008859035e-17,3.720498900424685e-15,3.964332353006421e-08,1.0,-73.6077186126038
