,L,n
0,10.0,2
1,10.29029029029029,2
2,10.58058058058058,2
3,10.87087087087087,2
4,11.16116116116116,2
5,11.451451451451451,2
6,11.741741741741741,2
7,12.032032032032031,2
8,12.322322322322321,3
9,12.612612612612612,3
10,12.902902902902902,3
11,13.193193193193194,3
12,13.483483483483484,3
13,13.773773773773774,3
14,14.064064064064064,3
15,14.354354354354355,3
16,14.644644644644645,3
17,14.934934934934935,3
18,15.225225225225225,3
19,15.515515515515515,3
20,15.805805805805806,3
21,16.096096096096097,3
22,16.386386386386388,3
23,16.676676676676678,3
24,16.966966966966968,3
25,17.25725725725726,3
26,17.54754754754755,3
27,17.83783783783784,3
28,18.12812812812813,3
29,18.41841841841842,4
30,18.70870870870871,4
31,18.998998998999,4
32,19.28928928928929,4
33,19.57957957957958,4
34,19.86986986986987,4
35,20.16016016016016,4
36,20.45045045045045,4
37,20.74074074074074,4
38,21.03103103103103,4
39,21.32132132132132,4
40,21.61161161161161,4
41,21.9019019019019,4
42,22.192192192192195,4
43,22.48248248248248,4
44,22.772772772772775,4
45,23.063063063063062,4
46,23.353353353353356,4
47,23.643643643643642,4
48,23.933933933933936,4
49,24.224224224224223,4
50,24.514514514514516,4
51,24.804804804804803,5
52,25.095095095095097,5
53,25.385385385385383,5
54,25.675675675675677,5
55,25.965965965965964,5
56,26.256256256256258,5
57,26.546546546546548,5
58,26.836836836836838,5
59,27.127127127127128,5
60,27.41741741741742,5
61,27.70770770770771,5
62,27.997997997998,5
63,28.28828828828829,5
64,28.57857857857858,5
65,28.86886886886887,5
66,29.15915915915916,5
67,29.44944944944945,5
68,29.73973973973974,5
69,30.03003003003003,5
70,30.32032032032032,5
71,30.61061061061061,5
72,30.9009009009009,6
73,31.19119119119119,6
74,31.48148148148148,6
75,31.77177177177177,6
76,32.06206206206206,6
77,32.352352352352355,6
78,32.64264264264264,6
79,32.93293293293293,6
80,33.22322322322322,6
81,33.513513513513516,6
82,33.8038038038038,6
83,34.094094094094096,6
84,34.38438438438439,6
85,34.67467467467468,6
86,34.96496496496496,6
87,35.25525525525526,6
88,35.54554554554555,6
89,35.83583583583584,6
90,36.126126126126124,6
91,36.41641641641642,6
92,36.70670670670671,6
93,36.996996996997,7
94,37.287287287287285,7
95,37.57757757757758,7
96,37.86786786786787,7
97,38.15815815815816,7
98,38.448448448448445,8
99,38.73873873873874,7
100,39.02902902902903,7
101,39.31931931931932,7
102,39.609609609609606,7
103,39.8998998998999,7
104,40.190190190190194,7
105,40.48048048048048,7
106,40.77077077077077,7
107,41.06106106106106,7
108,41.351351351351354,7
109,41.64164164164164,8
110,41.93193193193193,7
111,42.22222222222222,7
112,42.512512512512515,7
113,42.8028028028028,7
114,43.093093093093096,8
115,43.38338338338338,8
116,43.673673673673676,8
117,43.96396396396396,8
118,44.254254254254256,8
119,44.54454454454454,8
120,44.83483483483484,8
121,45.12512512512512,9
122,45.41541541541542,8
123,45.705705705705704,8
124,45.995995995996,8
125,46.286286286286284,8
126,46.57657657657658,8
127,46.866866866866864,8
128,47.15715715715716,8
129,47.44744744744745,8
130,47.73773773773774,9
131,48.02802802802803,8
132,48.31831831831832,8
133,48.60860860860861,8
134,48.8988988988989,9
135,49.18918918918919,9
136,49.47947947947948,9
137,49.76976976976977,9
138,50.06006006006006,9
139,50.350350350350354,9
140,50.64064064064064,9
141,50.930930930930934,9
142,51.22122122122122,9
143,51.511511511511515,9
144,51.8018018018018,9
145,52.092092092092095,9
146,52.38238238238238,9
147,52.672672672672675,9
148,52.96296296296296,9
149,53.253253253253256,9
150,53.54354354354354,9
151,53.833833833833836,9
152,54.12412412412412,9
153,54.414414414414416,9
154,54.7047047047047,10
155,54.994994994995,9
156,55.28528528528528,10
157,55.57557557557558,10
158,55.865865865865864,11
159,56.15615615615616,11
160,56.446446446446444,10
