,state_00,state_00_squared,state_01,state_01_squared,state_02,state_02_squared,state_03,state_03_squared,state_04,state_04_squared,state_05,state_05_squared,state_06,state_06_squared,state_07,state_07_squared,state_08,state_08_squared,v_au,x_au
24,(-1.5379951490094364e-17+1.9226383319092238e-17j),6.061967233703241e-34,(1.897784144643748e-18-4.173953085650817e-18j),2.102346902087518e-35,(-1.613623741736407e-17+1.1112005000836118e-17j),3.8385481312814714e-34,(-1.5216207610656628e-17-2.0472274400350985e-17j),6.50646993173871e-34,(9.515387320360108e-18-1.5595430828123647e-17j),3.3376005857125937e-34,(1.9049153302896273e-25-4.56936005487249e-19j),2.0879051311067944e-37,(7.633353739530078e-18-4.377843236800322e-18j),7.743360071879615e-35,(7.645564538088437e-18-4.0794862885174725e-18j),7.509686548427752e-35,(1.0036489372201856e-24-6.653386335507404e-19j),4.426754972961737e-37,6259.856600334698,-9.227070163141667
25,(-1.1182193709304709e-17+1.2395298612318294e-17j),2.786848838409536e-34,(1.5265977658957142e-17-6.3661199673872705e-18j),2.7357755732294547e-34,(-1.1453072609921754e-17-3.333133762370137e-18j),1.4228265288599158e-34,(-1.8613728889215933e-25-1.733256891570316e-17j),3.004179452175994e-34,(2.8703531601390284e-18-1.3912275586172162e-17j),2.017903392495221e-34,(-1.5329842166490898e-17-4.087666420543119e-18j),2.5171307761515817e-34,(1.535086651858048e-17+3.4137795762273672e-18j),2.473029938663423e-34,(1.5375423919017493e-17+1.0852211798298084e-17j),3.5417416160461542e-34,(2.0183634321378994e-24-3.734966891293918e-18j),1.3949977679065826e-35,6233.260851192624,-9.217838477135523
26,(-1.9616569799195333e-17+6.293877357453023e-18j),4.2442270287736225e-34,(1.726860246741096e-17-5.019407723391337e-18j),3.233990850711125e-34,(-9.596674877306312e-18-4.029782164341049e-18j),1.0833531299276334e-34,(-1.559978077311877e-25-1.154254008376238e-17j),1.3323023158526127e-34,(-4.810211291367473e-18-1.0243234852596132e-17j),1.280619929130392e-34,(-9.629017885294821e-26+2.0588469227501194e-18j),4.2388506513176456e-36,(7.717612965246395e-18+8.01884477861972e-18j),1.2386342146493597e-34,(1.5459916822160968e-17+5.119881750835113e-18j),2.652222172906701e-34,(2.0294321352761544e-24-8.588235105460694e-19j),7.375778222707931e-37,6206.748448524376,-9.208606791129379
27,(-1.1545773895504398e-17+1.644550001532232e-17j),4.037593656000772e-34,(1.543395677082391e-17-3.125743278979699e-18j),2.4797729264974796e-34,(-1.1579096455793026e-17+5.25597916792924e-18j),1.6170079174626477e-34,(-1.8818595761862075e-25-1.829480799767146e-17j),3.346999996716636e-34,(1.934624710073591e-18-6.01791836807568e-18j),3.995811425364998e-35,(3.8723768398888297e-26+2.8749322157299506e-18j),8.265235245041926e-36,(1.551978091360974e-17+9.874549106581139e-18j),3.3837031966472745e-34,(7.772303951655006e-18-2.6666838848813262e-18j),6.751991165879778e-35,(-7.785796422621135e-18-3.653176196235504e-18j),7.396432225524176e-35,6180.31922072363,-9.199375105123233
28,(1.2092524037627522e-18-1.982251980843208e-18j),5.391614291562816e-36,(1.5518239656705206e-17+2.838957274872723e-20j),2.4081656801077896e-34,(-2.03740761075684e-17+6.845504045687062e-18j),4.619639028765075e-34,(-1.5552914084618683e-17-2.175720273729596e-17j),7.1526900747532905e-34,(-3.890380253548407e-18-6.826178684423709e-18j),6.173177394887998e-35,(-7.785804259037574e-26-1.2452265033930572e-18j),1.5505890447525058e-36,(7.802265679027859e-18+1.5770243164340032e-17j),3.0957591918854954e-34,(1.5629493078395915e-17+4.0767049635685136e-18j),2.6090057724761e-34,(2.0516925076538155e-24+1.4200750688994164e-17j),2.016613201309724e-34,6153.972996358395,-9.190143419117089
29,(3.404338205934276e-18-4.8721603070315684e-20j),1.1591892414989548e-35,(1.9503393329535355e-17-1.0413382935798206e-17j),4.8882089553413744e-34,(-2.146045879883488e-17+5.720324988928017e-18j),4.932734098354438e-34,(3.1275154414035694e-17-1.820200600317727e-17j),1.3094483061614775e-33,(-7.823109628420844e-18+6.930658363743335e-19j),6.168138451184017e-35,(-1.5664689097544058e-25-6.463126999235704e-18j),4.1772010608249544e-35,(-5.975561068408355e-29-6.090017762833608e-18j),3.708831635162886e-35,(1.571457328926556e-17+5.95219431525864e-18j),2.8237643083029587e-34,(2.0628378088877667e-24+1.0210334846534314e-17j),1.0425093767835718e-34,6127.7096041709765,-9.180911733110944
30,(-2.053686917936396e-17+2.170848573080376e-18j),4.264755792175544e-34,(1.1765534049105414e-17-2.735079800145262e-18j),1.459084529738215e-34,(-1.961537609627133e-17-1.602275257175511e-18j),3.873302653979296e-34,(-3.187653045700537e-25-1.5114762556644493e-17j),2.2845604714374247e-34,(-7.865564047305463e-18-9.380279107530787e-18j),1.4985673391744286e-34,(-1.5745264888998202e-25-1.3282014291822122e-17j),1.7641190364816715e-34,(7.887306724821024e-18+8.666631356961096e-18j),1.3732010644886828e-34,(1.5799847241116363e-17+9.107153420207652e-19j),2.504645752768043e-34,(1.5827280273940944e-17-2.643591667958788e-18j),2.5749137777678126e-34,6101.528873077999,-9.171680047104799
31,(-4.670371567390223e-18+1.3381501715692903e-17j),2.0087695874457917e-34,(2.365835700868024e-17-7.915230004437393e-18j),6.223687223733152e-34,(-1.2818958571981184e-17+3.0227371444680204e-18j),1.7346263871471654e-34,(-2.0833305916533597e-25-2.1868606286878517e-17j),4.7823594093050276e-34,(-1.58162218313723e-17-6.442759387241436e-18j),2.916620215410654e-34,(-3.166030161103105e-25-2.270805182341895e-17j),5.1565561761508075e-34,(1.58599424844427e-17+1.304664149142389e-17j),4.2175262981557386e-34,(1.5885313058309792e-17+2.7472989529963852e-18j),2.5989082249764258e-34,(1.591289419747555e-17-4.899839883654284e-18j),2.7722863262550034e-34,6075.430632170415,-9.162448361098654
32,(-3.4598825843137733e-18+1.239840096703129e-17j),1.656911340365202e-34,(-2.9960757598763485e-25-3.0276490839130303e-18j),9.166658975319503e-36,(-2.974173757858189e-18+1.31114407770806e-17j),1.8075558879282426e-34,(-4.8329666460595467e-26+3.553007699716155e-18j),1.262386371424228e-35,(1.1926128980680654e-17-4.746286003132336e-19j),1.4245782477206627e-34,(2.3872995289932133e-25+6.53017930074416e-18j),4.264324169986755e-35,(-7.972730878083272e-18-1.2576377211652416e-17j),2.217297014241127e-34,(-2.8771822845107172e-25-1.4032820389700478e-18j),1.9692004808960175e-36,(1.5998696896550856e-17-3.40006811918251e-18j),2.6751876560278723e-34,6049.414710713474,-9.153216675092509
33,(-3.975405417850052e-18-1.3846746072622502e-18j),1.7721172004268415e-35,(-3.985630057912802e-18+5.147292976812767e-18j),4.237987194768404e-35,(8.970479537474828e-18+7.340443964900953e-18j),1.3435162073410542e-34,(1.4574619288616974e-25-7.850790375453958e-19j),6.163490951932263e-37,(-3.996744282645542e-18-1.7812684031630388e-19j),1.6005694032100897e-35,(-8.000269702177268e-26-1.975721925041754e-18j),3.903477125090701e-36,(8.015584968913121e-18-1.2740592683509908e-17j),2.2657230432097217e-34,(2.8926473880877407e-25-6.611677462956976e-18j),4.3714278874173273e-35,(3.216938244285193e-17-8.6906057987047e-18j),1.1103957959029496e-33,6023.480938146757,-9.143984989086364
